"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"PON2",5599,6197,4287,4835,1081,2926,3024,1024
"PON3",0,0,0,3,0,0,1,1
"POR",1235,1977,1345,1595,191,510,737,274
"POU1F1",0,0,0,0,1,1,0,0
"POU2AF1",4,1,0,0,0,0,0,0
"POU2F1",1176,1362,1456,1635,581,1732,1760,620
"POU2F2",16,13,28,37,62,214,170,73
"POU3F1",1,4,8,6,0,2,2,0
"POU3F2",22,27,5,4,65,172,83,21
"POU3F3",0,0,0,0,0,0,1,1
"POU4F1",144,150,171,234,0,0,1,1
"POU4F3",1,1,3,4,0,0,1,0
"POU5F1",63,56,215,235,7,7,13,6
"POU5F1B",19,31,39,27,1,2,2,1
"POU6F1",1,0,1,2,15,26,15,8
"PPA1",5682,6757,4128,4897,2154,6128,5096,1649
"PPARA",444,548,811,902,66,196,148,48
"PPARD",1195,1844,1233,1323,495,1300,3415,1392
"PPARG",106,115,95,82,1900,5046,4845,1758
"MED1",6820,7516,7637,8773,1151,3287,3196,956
"PPEF2",0,3,3,5,1,0,0,0
"PPAT",4638,5094,3674,4087,877,2262,1969,690
"PPBP",0,0,0,0,0,0,0,1
"PPEF1",32,33,78,98,2,26,38,10
"CTSA",789,1062,590,759,1778,4912,4142,1654
"PPIA",38131,54727,34774,39635,6715,16149,17501,5774
"PPIB",10153,14186,6722,8827,1950,5078,4176,1431
"PPIC",380,531,341,413,231,626,513,188
"PPID",7827,8878,5018,5876,163,458,404,115
"PPL",367,475,413,435,10,26,28,6
"PPM1A",5199,5120,4039,4758,1107,2947,3044,1042
"PPM1B",1305,1347,1618,1968,186,497,559,167
"PPM1G",6661,9633,7337,8424,538,1580,1304,395
"PPOX",245,414,207,281,109,246,147,66
"PPP1CA",3095,4024,2829,3323,1378,3539,3182,1200
"PPP1CB",12167,13408,13365,15446,1261,3549,4495,1442
"PPP1CC",14110,15929,12058,13597,1280,3512,4314,1385
"PPP1R1A",1,2,2,2,44,86,84,21
"PPP1R2",6369,7676,6448,6559,529,1513,1732,613
"PPP1R3C",2,0,0,1,0,0,0,0
"PPP1R3D",458,523,330,353,222,589,433,183
"PPP1R7",2434,3021,2063,2439,139,349,261,95
"PPP1R8",2576,3105,2085,2446,229,584,462,170
"PPP1R10",7076,8266,8240,9733,1479,4067,4401,1467
"PPP2CA",7528,8308,6988,8238,1040,2914,3510,1096
"PPP2CB",2451,3240,2206,2528,564,1396,1488,555
"PPP2R1A",2979,5114,3303,3653,678,1684,1543,621
"PPP2R1B",1698,2038,1512,1828,269,713,616,230
"PPP2R2A",7827,7928,12788,13843,322,859,1916,587
"PPP2R2B",0,0,1,0,15,35,17,8
"PPP2R2C",2070,2461,1932,2030,388,947,1014,359
"PPP2R3A",874,846,1189,1411,293,919,1621,467
"PTPA",3270,5382,3312,3494,742,1686,1300,513
"PPP2R5A",1427,1609,1024,1203,210,537,396,146
"PPP2R5B",387,692,984,1033,77,158,330,131
"PPP2R5C",6257,6872,5392,6181,800,2188,2425,737
"PPP2R5D",2330,2778,2150,2550,1127,3157,2594,1012
"PPP2R5E",3252,3120,3044,3616,989,2808,2975,1000
"PPP3CA",40102,45266,33336,36633,187,474,668,241
"PPP4C",1308,2046,1478,1706,426,891,709,243
"PPP3CB",1734,2009,1913,2170,382,1061,1120,374
"PPP3CC",812,1004,1025,1154,73,295,295,70
"PPP3R1",2457,2658,2442,2777,354,971,988,291
"PPP3R2",9,4,12,22,0,0,0,0
"PPP5C",1700,2127,1403,1655,285,720,475,172
"PPP6C",3864,4247,3377,3933,681,1827,1795,645
"PPT1",4779,6201,3690,4697,1800,4861,4857,1664
"PPY",0,1,0,0,0,0,0,0
"NPY4R",20,24,20,18,2,3,8,1
"PRB1",0,0,0,0,0,0,3,0
"PRB3",3,11,11,13,8,18,13,5
"PRB4",0,0,0,0,1,0,0,0
"PRCC",1930,2996,3220,3628,559,1670,1533,482
"PRCP",3642,4623,4331,4642,1138,3419,3888,1195
"PRELP",4,9,10,12,4,7,6,0
"PREP",1329,1621,1659,1927,190,472,672,228
"PRF1",0,0,0,0,1,0,0,0
"SRGN",15,9,4,5,1410,3965,4021,1280
"PRG2",0,2,2,0,1,3,11,0
"PRH1",37,46,40,49,10,17,14,6
"PRH2",4,3,2,2,1,3,3,3
"PRIM1",1615,1664,1115,1232,385,1007,876,301
"PRIM2",631,693,407,473,342,882,903,321
"PRKAA1",16917,21010,12983,14724,685,1948,2470,775
"PRKAA2",683,695,677,815,328,868,1584,554
"PRKAB1",534,724,338,362,415,1025,562,223
"PRKAB2",1487,1574,1472,1581,390,1141,1452,431
"PRKACA",2068,3108,2630,2848,452,1252,1179,428
"PRKACB",34790,32846,35690,41412,346,974,822,229
"PKIA",144,176,126,101,616,1717,2453,838
"PKIB",1148,1300,565,624,275,839,722,264
"PRKAG1",3262,4534,2949,3470,294,833,529,219
"PRKAR1A",11902,13857,13558,15362,1956,5515,6012,1798
"PRKAR1B",305,540,290,390,18,41,106,37
"PRKAR2A",5144,5542,4243,5188,1219,3322,3078,942
"PRKAR2B",1207,1210,1412,1506,20,103,65,25
"PRKCA",377,400,679,716,1084,3230,4027,1275
"PRKCB",0,0,0,0,1,2,0,0
"PRKCD",4043,5025,6119,6756,132,361,483,150
"PRKCE",272,313,288,336,84,249,323,117
"PRKCG",1,3,0,3,6,13,8,2
"PRKCH",759,824,1040,1011,241,684,470,144
"PRKCI",5060,5376,4729,5221,865,2442,2877,941
"PKN1",2352,4273,2885,3376,949,2229,1465,534
"PKN2",4495,4400,4416,5184,980,2950,3135,1075
"PRKD1",8067,9654,7072,7741,157,454,340,124
"PRKCQ",2,0,2,1,0,2,0,0
"PRKCSH",7758,10626,8889,10145,553,1618,1997,800
"PRKCZ",1323,1674,1545,1789,200,486,393,171
"PRKDC",15874,17016,15469,18162,1102,2813,2925,928
"PRKG1",10,19,3,2,106,300,351,86
"PRKG2",215,248,206,188,30,104,110,21
"MAPK1",5351,6011,4387,4927,1096,2834,2745,951
"MAPK3",1657,2566,2331,2303,216,571,395,160
"MAPK4",88,149,78,72,5,7,6,1
"MAPK6",10166,11865,10992,11603,801,2282,2595,909
"MAPK7",458,739,1350,1438,94,206,365,144
"MAPK8",2194,2544,2653,3232,342,987,1276,465
"MAPK11",185,347,273,293,18,84,61,19
"MAPK9",2547,3070,2722,3132,335,1059,837,325
"MAPK10",114,145,85,106,9,19,10,7
"MAPK13",605,886,519,581,113,342,421,190
"MAP2K1",1785,2268,2151,2502,284,689,1669,554
"MAP2K2",1557,2390,1320,1518,402,862,773,297
"MAP2K3",1530,2573,801,989,112,259,139,43
"MAP2K5",1040,1376,1048,1075,56,124,137,49
"MAP2K6",614,704,408,483,504,1373,1385,361
"MAP2K7",1198,1724,1507,1580,260,652,522,224
"EIF2AK2",5272,5337,3946,4821,570,1789,1062,361
"DNAJC3",2783,3083,2249,2974,436,1215,1614,516
"THAP12",2485,2712,2834,3322,913,2365,2591,850
"PRKX",1978,2067,2041,2139,281,748,647,232
"PRKY",788,863,776,814,20,53,38,15
"PRL",0,0,1,0,0,0,0,0
"PRLR",36,31,14,18,44,108,117,36
"PRNP",7344,8890,5437,6021,5432,14967,14974,4697
"PSPN",6,23,11,15,3,2,1,1
"PROC",0,3,2,8,0,6,2,4
"PRODH",18,31,11,12,1,3,1,1
"PROP1",0,1,0,0,0,0,0,0
"PROS1",435,404,484,615,86,246,313,113
"PROX1",5,12,9,6,36,105,107,28
"PRPH",119,154,479,416,2,0,3,3
"PRPS1",4624,5935,3139,3796,1048,2800,2219,726
"PRPS2",4367,4459,3069,3437,1158,3227,3315,1106
"PRPSAP1",1045,1431,1073,1190,287,787,607,220
"PRPSAP2",1479,1801,1343,1459,250,636,729,269
"PRRG1",2930,3040,4453,5087,178,555,615,174
"PRRG2",301,404,543,633,18,49,44,11
"LGMN",2639,4108,2009,2452,114,337,240,72
"PRSS1",21,190,23,35,1,1,0,0
"PRSS2",1,3,0,0,5,6,4,0
"PRSS3",1,5,1,1,5,29,55,16
"MASP1",12,10,10,12,4,13,7,7
"RELN",202,361,367,472,14,55,61,13
"KLK7",3,1,0,8,0,0,0,0
"TMPRSS15",1,0,0,0,1,0,0,0
"PRSS8",2979,4749,2954,3026,8,26,12,3
"KLK6",2,4,1,0,5,6,12,3
"HTRA1",145,356,275,347,359,1043,1087,309
"KLK10",0,0,0,0,0,5,13,3
"PRTN3",1,1,3,7,1,2,0,5
"PSAP",11447,17366,11996,13692,4397,11473,12010,4601
"PSD",65,114,75,70,1,3,3,4
"PSEN1",3577,4010,3355,4038,2426,6402,8146,2918
"PSEN2",900,1044,679,804,247,544,403,133
"PSG1",1,0,3,0,0,1,0,0
"PSG2",0,0,0,0,0,0,1,0
"PSG3",0,0,0,0,0,1,0,0
"PSG4",0,0,0,0,0,1,5,0
"PSG6",0,0,0,0,0,2,0,0
"PSG7",0,0,0,0,0,0,1,0
"PSG9",0,1,0,0,2,9,6,2
"PSG11",0,0,0,0,0,1,0,0
"PSKH1",1070,1695,1201,1522,195,548,344,147
"PSMA1",7587,8377,6990,8384,1401,3751,4493,1444
"PSMA2",2211,3028,1869,2220,765,1910,2044,665
"PSMA3",3860,4502,3230,3914,1651,4040,4113,1294
"PSMA4",9088,11456,7880,9409,621,1630,1628,543
"PSMA5",3859,5172,3289,3660,861,2234,1902,580
"PSMA6",5044,6369,7073,8311,1045,2730,2892,1001
"PSMA7",2721,3887,2554,3081,2103,4841,4716,1523
"PSMB1",8916,9104,5765,7615,863,2076,2363,801
"PSMB2",5180,6650,4207,4918,1939,5405,4740,1490
"PSMB3",2161,3385,1774,2111,592,1531,1150,408
"PSMB4",4321,6812,3833,4538,1385,3591,2941,1055
"PSMB5",3250,5378,2915,3568,1489,3431,3278,1164
"PSMB6",2344,3299,2012,2330,1024,2666,2043,759
"PSMB7",2738,3522,1856,2281,962,2290,2096,704
"PSMB8",22,33,21,16,43,161,55,30
"PYY",0,4,4,2,1,4,0,2
"PSMB9",174,243,60,61,143,455,170,64
"PSMB10",284,640,174,210,47,109,51,29
"PSMC1",5537,6413,5192,6063,731,2136,2393,682
"PSMC2",6420,6957,5356,6959,1206,3238,3104,966
"PSMC3",2746,3655,2027,2238,94,222,163,55
"PSMC4",3116,4359,3415,3926,594,1630,1609,535
"PSMC5",6798,10011,6857,8090,459,1174,1258,365
"PSMC6",4624,5003,3653,4207,1506,4125,3956,1315
"PSMD1",6204,6888,5790,6871,2330,5990,6594,1897
"PSMD2",8872,10846,9997,11694,4496,12185,16846,5507
"PSMD3",4563,6298,4702,5574,1090,2898,2767,955
"PSMD4",4309,6346,3398,3996,900,2367,1812,706
"PSMD5",1287,1214,1086,1360,1040,2672,2263,769
"PSMD7",6296,7646,6326,7049,839,2247,2020,673
"PSMD8",8384,11206,8576,10697,1451,3880,3088,987
"PSMD9",1373,2250,1407,1632,216,522,483,161
"PSMD10",2174,2427,1949,2203,352,1010,1010,352
"PSMD11",5323,6573,5625,6863,1681,4378,4397,1470
"PSMD12",5136,5571,4545,5197,1430,3969,4671,1547
"PSMD13",4367,5379,3707,4589,43,172,124,34
"PSME1",3568,5096,3074,3555,482,1242,1412,466
"PSME2",2280,2917,1628,2003,934,2237,1850,674
"PSPH",2092,2916,1186,1292,272,699,608,227
"PTAFR",9,16,0,2,32,96,73,41
"PTBP1",6052,7055,5160,6245,766,2138,2409,822
"TAS2R38",0,1,1,3,0,0,0,0
"PTCH1",813,1098,893,946,17,63,49,17
"PTEN",3907,4486,2982,3579,46,88,73,24
"PTGDR",0,1,0,0,0,1,0,0
"PTGDS",0,1,1,1,0,0,0,0
"PTGER1",2,2,1,0,0,0,0,1
"PTGER2",0,1,0,0,58,125,109,23
"PTGER3",5,5,20,26,1,4,7,0
"PTGER4",79,123,442,477,45,135,97,38
"PTGFR",3320,3411,1831,2478,2,14,10,5
"PTGFRN",2970,3437,2619,3069,937,2527,2342,828
"PTGIR",2423,3785,2680,2913,397,1090,815,319
"PTGIS",0,0,0,0,25,70,24,9
"PTH",4,0,0,0,0,0,0,0
"PTGS1",38,46,65,72,0,4,0,1
"PTGS2",0,0,0,0,28,71,105,27
"PTHLH",1,5,5,8,438,1132,989,322
"PTH1R",31,32,54,33,7,18,5,4
"PTH2R",0,0,1,0,1,1,0,0
"PTK2",4617,5007,7177,7918,2460,6895,9690,3447
"PTK6",116,169,141,150,36,115,121,44
"PTK7",685,989,917,963,540,1392,1411,500
"TWF1",6022,6566,7504,8156,1198,3270,5403,1692
"PTMA",53607,58788,51571,57906,1831,5868,4156,1404
"PTMS",17608,22923,25770,27600,1827,5072,3674,1387
"PTN",50,80,23,27,8,24,17,5
"QSOX1",4580,5782,5844,6737,196,523,1091,445
"PTPN1",2039,2297,1760,2097,329,818,772,255
"PTPN2",2385,2484,1590,1878,612,1575,1705,539
"PTPN3",2105,2458,1952,2475,318,820,862,306
"PTPN4",1082,1125,1330,1520,430,1145,1318,374
"PTPN6",1511,2205,1334,1637,64,189,128,37
"PTPN7",3,3,2,0,0,0,0,0
"PTPN9",1010,1228,991,1215,230,492,609,199
"PTPN11",11072,12455,13211,15211,430,1363,1332,344
"PTPN12",2620,2885,4064,4652,586,1601,2346,661
"PTPN13",1749,2086,1740,2236,101,349,267,70
"PTPN14",453,516,440,485,273,680,794,264
"PTPRA",6043,7127,5795,6525,1195,3195,3174,1153
"PTPRB",93,128,112,121,45,115,209,57
"PTPRC",0,0,0,0,0,0,1,0
"PTPRD",0,0,0,4,66,179,175,57
"PTPRCAP",34,44,41,41,2,6,3,1
"PTPRE",582,631,394,458,157,387,356,109
"PTPRF",12919,16680,20814,22485,320,932,1051,320
"PTPRG",912,936,718,959,243,712,716,194
"PTPRH",17,18,11,4,34,119,174,71
"PTPRJ",1417,1604,2392,2701,1041,2714,2254,770
"PTPRK",605,657,879,862,850,2474,2836,924
"PTPRM",2186,2523,5659,6247,1025,3001,3441,1178
"PTPRN",18,26,337,335,2,6,87,30
"PTPRN2",216,265,382,414,28,70,71,21
"PTPRO",1,0,2,1,0,1,1,1
"PTPRR",412,584,306,257,17,47,112,38
"PTPRS",4789,5748,5839,6715,632,1635,1287,363
"PTPRZ1",0,0,1,3,3,5,5,2
"PTS",1164,1491,809,970,44,105,74,27
"PTX3",0,0,4,5,566,1418,2748,644
"RAD1",1811,1842,1382,1610,467,1233,1061,356
"PURA",4556,5635,3101,3398,267,776,808,298
"PURB",3705,3858,3946,4533,93,324,235,86
"PVALB",1,0,0,0,2,2,0,0
"PVR",2282,3047,2337,2681,840,2177,1853,755
"NECTIN1",1692,2697,1845,1984,196,593,583,237
"NECTIN2",775,1171,1436,1583,324,827,783,303
"PVT1",1450,1647,1270,1403,187,591,520,177
"PWP2",445,576,407,499,29,91,35,13
"PEX19",3422,4682,3326,3745,972,2354,1876,778
"ABCD3",2817,2545,3151,3604,447,1214,1310,379
"ABCD4",473,702,640,719,62,120,121,39
"PXMP2",382,567,280,275,96,245,243,83
"PEX2",2196,2501,2671,3042,460,1326,1245,404
"PXN",2868,4056,3618,3719,2121,5873,7768,2920
"PEX5",1319,1765,1249,1426,233,579,483,171
"PYCR1",5312,8594,4074,4711,201,487,237,111
"ALDH18A1",5668,7997,5991,7304,542,1497,1822,626
"PCYT2",1360,1906,903,1065,105,232,130,54
"PYGB",2661,4677,3734,4393,1614,3908,3957,1377
"PYGL",358,408,491,493,931,2361,5508,1951
"PYGM",16,28,25,29,9,21,23,6
"PZP",0,1,0,0,0,1,0,1
"QARS1",4039,4468,3670,4392,1148,3029,2802,922
"QDPR",1495,2005,1072,1223,161,402,324,105
"RAB1A",8863,9639,8660,10375,746,2111,2705,856
"RAB2A",5339,5259,4082,4636,383,1072,1159,382
"RGL2",2062,2761,2124,2484,313,767,827,304
"RAB3A",1127,1646,1996,2014,24,56,64,24
"RAB3B",3003,3337,6211,7119,202,561,739,199
"RAB3IL1",267,463,244,225,28,89,26,10
"RAB4A",3206,3866,3102,3549,230,630,648,194
"RAB5A",3510,4006,4400,4806,370,1208,1563,427
"RAB5B",3908,5289,4309,4874,1155,3128,3035,1154
"RAB6A",9467,10872,10882,11799,733,2170,2802,859
"MAP4K2",858,1158,1222,1377,302,766,656,244
"RAB13",3429,4503,3629,3946,412,1009,1043,330
"RAB27A",1312,1400,1142,1374,233,728,603,231
"RAB27B",1425,1262,351,462,560,1563,1434,453
"RABGGTA",729,1238,825,923,161,466,306,139
"RABGGTB",11494,14811,6872,8265,525,1342,1217,369
"RABIF",698,962,641,789,182,523,509,171
"RAB5C",7588,8994,7310,8319,0,0,0,0
"RAC1",9332,12991,10226,10963,840,2189,2695,827
"RAC2",4,3,1,0,1472,4109,3687,1462
"RAC3",501,965,667,706,123,272,259,104
"RAD9A",717,891,673,765,82,236,150,68
"RAD17",5445,5970,5083,5784,322,928,886,317
"RAD21",9111,8667,9999,11862,4498,12190,14250,4760
"RAD23A",4108,6114,4078,4566,187,561,228,68
"RAD23B",15030,16894,13628,15677,210,693,536,182
"RAD51",603,615,346,407,161,350,329,109
"RAD51C",2440,3054,1914,2114,157,415,317,90
"RAD51B",252,306,390,409,35,113,104,32
"MOK",485,566,446,481,219,576,335,118
"RAD51D",558,777,349,347,90,227,130,64
"RAD52",706,872,587,718,79,216,174,46
"RAF1",2865,3809,3511,4082,872,2148,2131,737
"RAG1",27,23,28,28,18,37,37,13
"RAG2",2,9,3,2,0,5,2,0
"RALA",2922,3591,2638,2837,489,1240,1552,493
"RALB",1578,1861,1133,1311,426,1122,1732,573
"RALGDS",2651,4104,3613,3972,165,447,555,200
"RAN",14410,18573,12793,14907,5282,13667,14685,4747
"RANBP1",6987,8583,5984,7427,981,2653,2221,680
"RANBP2",13584,13861,20825,26980,957,2741,2602,790
"RANGAP1",3873,5225,3469,4114,309,665,443,156
"RAP1A",2660,2730,2236,2560,199,656,604,209
"RAP1B",5057,4869,3753,4016,538,1606,2419,791
"RAP1GAP",307,514,339,451,33,73,90,40
"RAP1GDS1",1399,1476,1406,1579,350,1171,1251,365
"RAP2A",1255,1259,1649,1958,705,1821,3071,1030
"RAP2B",861,1027,775,819,704,1794,2309,817
"RAPSN",3,6,4,2,0,1,1,0
"RARA",531,778,979,1014,136,361,406,154
"RARB",320,340,1015,1040,478,1203,2536,735
"RARG",287,453,510,549,326,752,488,184
"RARS1",5022,6309,3895,4590,662,1759,1577,591
"RARRES1",0,0,1,4,3,2,3,0
"RARRES2",24,14,10,9,0,1,1,0
"PLAAT4",155,223,52,57,19,39,22,5
"RASA1",3230,3269,3287,4011,582,1698,1796,627
"RASA2",614,588,529,619,219,505,748,256
"RASGRF1",16,18,241,241,0,4,2,2
"RASGRF2",22,27,16,15,7,20,12,2
"RB1",3230,3196,3422,3744,565,1721,2265,692
"ARID4A",1413,1489,1806,1913,395,1065,1457,391
"KDM5A",1722,1712,2166,2454,312,924,1039,295
"RBBP4",9468,8430,9553,11516,616,1750,1893,629
"RBBP5",1594,1719,1472,1778,875,2268,1926,658
"RBBP6",7012,7627,6800,8075,675,1932,2321,668
"RBBP7",5429,6839,3949,4639,2134,5315,5418,1779
"RBBP8",2438,2761,1916,2433,273,722,572,193
"RBL1",1238,1302,818,925,912,2389,1774,675
"RBL2",5334,5312,6320,7046,387,961,932,345
"RBM3",3709,4872,4510,5325,864,2250,3154,1009
"RBM4",3203,4689,3290,3823,520,1370,1272,435
"RBMS1",14,1,21,19,671,2113,2271,783
"RBMS2",827,1044,957,1097,405,1152,705,237
"RBP1",3,4,2,4,0,0,0,0
"RBP2",5,4,5,7,0,2,2,1
"RBP3",0,1,1,0,0,0,0,0
"RBP4",0,5,0,0,84,235,192,69
"RCN1",11856,12789,9318,10860,1918,5516,5859,2007
"RCN2",10839,12847,10899,12536,734,2217,2351,816
"RDH5",38,58,28,38,10,38,24,13
"PRPH2",1,0,4,0,1,11,4,1
"RDX",8792,8764,7563,8576,2147,6291,7654,2484
"RECQL",2363,2454,1957,2252,827,2314,3043,1039
"REL",815,830,997,1066,214,625,440,143
"RELA",3497,4972,4187,4280,249,788,906,403
"RELB",62,96,25,32,87,213,136,56
"REN",12,13,34,47,3,7,4,2
"RENBP",5,3,2,11,0,0,0,0
"UPF1",3068,3647,3668,4446,171,380,423,135
"DPF2",1483,1901,1505,1746,326,963,776,357
"REST",3306,3330,2950,3705,897,2463,2867,936
"RET",14,49,35,28,6,8,6,3
"REV3L",1581,1665,2095,2646,501,1353,1068,353
"RFC1",8736,8649,7763,9031,380,1053,1478,340
"RFC2",1687,1995,1240,1509,183,476,330,119
"RFC3",2077,1987,1371,1634,913,2627,2065,684
"RFC4",5433,5406,3969,4721,411,1114,1053,378
"RFC5",3120,3498,2675,3146,384,1022,1030,376
"RFNG",270,493,396,402,65,142,114,47
"TRIM27",3760,4561,3284,4182,737,2184,1766,620
"RFPL1",20,19,4,5,2,9,4,2
"RFX1",287,389,380,451,42,115,96,31
"RFX2",82,152,146,143,5,20,20,8
"RFX3",467,495,668,779,165,466,429,156
"RFX4",4,3,1,2,1,2,0,0
"RFX5",4122,4207,3607,4343,438,1250,1069,370
"RFXAP",466,582,337,365,68,191,143,59
"RGS1",6,10,6,10,0,0,0,0
"RGS2",4,1,2,0,118,303,230,110
"RGS3",1139,1626,1110,1294,171,466,299,116
"RGS4",16,26,97,114,189,483,862,261
"RGS7",1,0,4,0,6,17,20,3
"RGS10",776,1377,551,606,170,466,324,130
"RGS12",732,813,939,1087,97,232,240,77
"RGS16",69,93,46,64,8,28,13,5
"RHAG",2,2,1,0,0,0,0,0
"RHCE",365,424,330,433,233,679,788,302
"RHD",3,5,1,2,8,12,7,4
"RHEB",3201,3475,2746,3128,1261,3217,4130,1305
"RHO",1,0,0,0,0,0,0,0
"GRK1",346,416,500,591,2,3,1,0
"RLN1",802,1157,226,240,4,13,2,2
"RIT2",8,11,2,5,0,0,0,0
"RING1",1875,2532,1821,1990,249,620,428,177
"RIT1",1879,2079,3493,3900,146,483,769,274
"RLBP1",0,2,4,0,5,3,14,3
"RLF",1717,1683,3671,4202,414,1263,2466,735
"RLN2",201,377,46,56,1,4,1,1
"RMRP",74,80,46,114,30407,171055,140196,53945
"RN7SL1",355,614,528,866,83753,352417,282616,106917
"RNASE1",0,1,3,4,11,36,18,8
"RNASE2",0,0,0,0,2,4,3,1
"RNASE4",427,738,832,809,94,267,509,176
"RNASE6",0,0,0,0,1,4,1,0
"RNASEL",595,756,491,542,8,39,24,8
"SNORA63",29,28,20,23,35,277,225,101
"SNORA62",116,82,36,62,17,186,115,49
"RNF2",1222,1231,1137,1379,275,704,946,288
"BRD2",17859,21190,22751,26742,1341,3522,3682,1143
"RNF4",4953,5940,4798,5576,652,1793,1901,608
"RNF5",1330,2047,1828,1962,899,2248,1897,689
"RNF6",5660,6142,5751,7027,288,871,857,259
"RNH1",949,1750,782,875,397,975,871,322
"RNPEP",3402,4662,3094,3675,209,525,583,209
"ABCE1",11118,11437,7072,8830,3021,8428,8284,2583
"RNU1-4",22,9,9,33,574,6749,6377,3086
"RNVU1-2A",1,3,0,0,499,5772,5744,2645
"SNORD15A",6,10,4,9,1,10,16,5
"SNORA73A",47,37,57,97,1261,5661,5742,2449
"SNORD20",1,6,3,6,1,7,8,2
"SNORD21",8,8,8,4,4,24,19,12
"RNY1",5,3,1,1,26,271,165,70
"RNY3",0,0,0,0,1,7,5,1
"RNY4",1,0,0,0,1,1,2,0
"RNY5",1,0,0,0,0,0,1,0
"ROBO1",1332,1382,922,1167,664,1813,1911,649
"ROBO2",0,0,0,3,12,49,28,10
"ROCK1",3854,3792,3559,4200,611,1823,2344,760
"ROM1",77,105,90,96,21,42,43,17
"RORA",78,92,1044,1144,104,266,1803,519
"RORB",9,10,1,0,39,114,58,15
"RORC",416,631,527,549,4,4,1,0
"ROS1",1,0,1,1,5,9,23,7
"RP9",231,291,264,281,56,174,120,30
"RP1",0,0,0,3,10,37,26,15
"RP2",853,811,870,1067,90,286,496,118
"RPGR",326,400,294,390,157,362,372,125
"RPA1",7190,8125,5490,6366,319,887,742,206
"RPA2",2750,3290,2215,2641,813,2015,1715,571
"RPA3",767,984,515,603,224,556,485,185
"RPE",2047,2047,2275,2656,492,1274,1253,473
"RPE65",4,0,0,1,56,168,374,90
"RPL3",55077,83365,45601,51865,4812,12819,12044,4364
"RPL3L",78,108,61,60,4,1,1,0
"RPL4",53349,81202,34715,39368,3636,9558,8619,2964
"RPL5",31345,37970,24625,27239,5548,14850,16501,5498
"RPL6",43956,53411,31137,37745,4094,10243,10445,3485
"RPL7",36072,46088,24285,26945,3997,10971,11928,4151
"RPL7A",51179,79685,37907,44338,3026,8156,7261,2649
"RPL8",23041,45675,20121,22363,7039,17860,14887,5650
"RPL9",20850,34323,14984,16865,1736,4167,4569,1552
"RPL10",5628,12113,5353,6048,2748,6448,5809,2258
"RPL11",42675,60674,35021,38159,5650,15263,16270,5395
"RPL12",47853,63853,42746,46517,5693,14228,12663,4423
"RPL13",16067,32009,12275,13830,2031,4444,3800,1446
"RPL15",26618,34913,25498,28472,3384,8213,9117,3220
"RPL17",23186,29354,14652,17017,740,2146,2113,752
"RPL18",8570,13528,7083,8487,2446,5968,4724,1807
"RPL18A",9539,19911,7765,8557,4177,9850,6841,2659
"RPL19",31218,52955,24405,27127,4356,10594,9148,3268
"RPL21",11564,15047,9394,10019,926,2089,2620,796
"RPL22",13906,17295,11751,12990,3011,7590,9067,2965
"RPL23A",23570,38735,19516,21634,2908,7564,6956,2431
"MRPL23",377,602,346,413,105,186,175,57
"RPL24",20329,30993,15484,17552,4362,10535,10114,3361
"RPL26",112955,129357,85502,96872,5180,15442,16477,5260
"RPL27",16558,26072,11962,13132,2170,5314,4215,1453
"RPL30",17725,27541,13362,14121,6917,17116,16695,6081
"RPL27A",46863,66168,34128,39771,3331,8869,8256,2794
"RPL28",29297,44333,23381,26643,4700,12412,9253,3694
"RPL29",28295,39859,21388,24917,2243,5850,4591,1765
"RPL31",12093,21143,9022,9656,966,2500,2286,804
"RPL32",37999,57035,27542,32201,4458,11179,10348,3743
"RPL34",7618,13326,5924,6865,470,1180,1080,420
"RPL35A",18882,23971,14815,16275,2633,6597,6364,2265
"RPL36AL",15336,19432,12661,14898,1314,3669,3879,1146
"RPL37",41287,60371,34710,36695,4906,13076,12430,4123
"RPL37A",34503,50375,29856,33061,3548,9065,7956,2810
"RPL38",18887,26801,14499,16550,4769,14089,12965,4317
"RPL39",9072,14722,6126,7227,1225,3112,3483,1324
"RPL41",11889,19532,9599,11230,1098,2679,2682,945
"RPL36A",17664,20837,13715,16021,481,1323,1615,569
"RPLP0",49020,87975,45368,49437,8750,20963,21477,7572
"RPLP1",16160,39506,13713,16593,5939,12174,10534,3897
"RPLP2",6230,13861,4996,6138,916,2079,1478,594
"MRPL12",1148,2077,833,1219,414,967,529,185
"MRPS12",706,1201,481,625,194,401,190,75
"RPN1",12314,13565,11333,14076,997,2825,2979,1013
"RPN2",13835,16390,11915,13809,6428,16223,18076,6321
"RPS2",50367,76287,39107,46040,4948,13015,11607,4159
"RPS3",38977,63936,32242,36747,9218,22959,21139,7294
"RPS3A",46056,67189,36759,41554,1977,5712,7208,2377
"RPS4X",85288,114248,74511,84072,7875,22395,24513,8047
"RPS4Y1",10195,14932,8423,8815,0,0,0,0
"RPS5",7274,15849,5649,6196,3539,9016,6776,2464
